Date,Track,Artist,Album
2018-03-20 07:35:13-03:00,Take on Me,a-ha,Hunting High and Low
2018-03-20 07:31:10-03:00,The Pop Kids,Pet Shop Boys,Super
2018-03-20 07:28:37-03:00,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret
2018-03-20 07:24:34-03:00,A Lack of Color,Death Cab for Cutie,Transatlanticism
2018-03-20 07:20:21-03:00,Just a Girl,No Doubt,Tragic Kingdom
2018-03-20 07:15:56-03:00,California,Grimes,Art Angels
2018-03-19 20:07:16-03:00,Pide,Javiera Mena,Otra Era
2018-03-19 20:02:38-03:00,Rome,Phoenix,Wolfgang Amadeus Phoenix
2018-03-19 19:58:19-03:00,West Coast,Lana Del Rey,West Coast
2018-03-19 19:54:49-03:00,Trigger Bang (feat. Giggs),Lily Allen,Trigger Bang (feat. Giggs)
2018-03-19 19:50:57-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition)
2018-03-19 19:42:49-03:00,Title and Registration,Death Cab for Cutie,Transatlanticism
2018-03-19 19:40:40-03:00,Naïve,The Kooks,Inside In / Inside Out
2018-03-19 19:32:25-03:00,Cape Cod Kwassa Kwassa,Vampire Weekend,Vampire Weekend
2018-03-19 19:30:10-03:00,Game of Pricks,Guided by Voices,Human Amusements At Hourly Rates - The Best Of Guided By Voices
2018-03-19 19:26:06-03:00,Just a Girl,No Doubt,Tragic Kingdom
2018-03-19 19:22:08-03:00,California,Grimes,Art Angels
2018-03-19 13:47:05-03:00,The Sweet Escape,Gwen Stefani,
2018-03-19 13:42:57-03:00,Rich Girl,Gwen Stefani,
2018-03-19 13:39:27-03:00,Hollaback Girl (Dirty Version),Gwen Stefani,
2018-03-19 13:32:17-03:00,Megamix (2016 Billboard Music Awards Performance),Britney Spears,
2018-03-19 13:24:08-03:00,Meet Me on the Equinox,Death Cab for Cutie,
2018-03-19 13:19:08-03:00,"I'm Not A Girl, Not Yet A Woman (Video Version Without Movie Footage)",Britney Spears,
2018-03-19 13:16:40-03:00,Sometimes,Britney Spears,
2018-03-19 13:12:25-03:00,Oops!...I Did It Again (Official Video),Britney Spears,
2018-03-19 13:08:11-03:00,Lucky (AC3 Stereo),Britney Spears,
2018-03-19 13:04:32-03:00,Stronger (AC3 Stereo),Britney Spears,
2018-03-19 12:55:53-03:00,Goodbye Soleil,Phoenix,
2018-03-19 09:46:50-03:00,Little Wanderer,Death Cab for Cutie,Kintsugi
2018-03-19 09:42:21-03:00,Rich Girl,Gwen Stefani,Love Angel Music Baby
2018-03-19 09:34:58-03:00,Poker Face,Lady Gaga,The Fame Monster (Deluxe)
2018-03-19 09:32:19-03:00,London Bridge,Fergie,The Dutchess (Explicit Version)
2018-03-19 09:28:41-03:00,Jenny From The Block - Track Masters Remix,Jennifer Lopez,This Is Me...Then
2018-03-19 09:23:22-03:00,TTHHEE PPAARRTTYY - Live Version,Justice,A Cross The Universe
2018-03-19 09:19:25-03:00,Black Sun,Death Cab for Cutie,Kintsugi
2018-03-19 09:14:37-03:00,Crooked Teeth,Death Cab for Cutie,Plans
2018-03-19 09:11:00-03:00,Cath...,Death Cab for Cutie,Narrow Stairs
2018-03-19 09:05:25-03:00,California,Grimes,Art Angels
2018-03-19 09:02:10-03:00,Un Jour Viendra,Yelle,Complètement Fou
2018-03-19 08:58:05-03:00,"Clearest Blue - Live From Spotify House, SXSW Texas / 2016",CHVRCHES,Spotify Sessions
2018-03-19 08:53:19-03:00,Real Slow,Miami Horror,All Possible Futures
2018-03-18 14:18:33-03:00,Stronger (AC3 Stereo),Britney Spears,
2018-03-18 13:16:46-03:00,J-Boy,Phoenix,
2018-03-18 13:06:51-03:00,Problem (feat. Iggy Azalea),Ariana Grande,
2018-03-18 12:59:52-03:00,Style,Taylor Swift,
2018-03-18 12:53:16-03:00,Hollaback Girl,Gwen Stefani,
2018-03-18 12:49:08-03:00,Rich Girl,Gwen Stefani,
2018-03-18 12:41:58-03:00,Oops!...I Did It Again (Official Video),Britney Spears,
2018-03-18 12:37:46-03:00,Wannabe,Spice Girls,
2018-03-18 12:22:37-03:00,Your Heart is an Empty Room (Live on KFOG Radio),Death Cab for Cutie,
2018-03-18 11:42:14-03:00,We Laugh Indoors (Audio),Death Cab for Cutie,
2018-03-18 11:33:07-03:00,Title and Registration (Official Video),Death Cab for Cutie,
2018-03-18 11:24:20-03:00,Summer Skin ♥ (HD Sound Quality),Death Cab for Cutie,
2018-03-18 11:20:23-03:00,Soul Meets Body,Death Cab for Cutie,
2018-03-17 18:27:00-03:00,Girlfriend,Phoenix,Wolfgang Amadeus Phoenix
2018-03-17 18:22:41-03:00,California,Grimes,Art Angels
2018-03-16 19:37:03-03:00,Milkshake,Kelis,Tasty
2018-03-16 19:33:28-03:00,A Lack of Color,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition)
2018-03-16 19:28:56-03:00,Higher,Lily Allen,Higher
2018-03-16 19:26:13-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-16 19:22:59-03:00,ALCOHOL,Millionaires,"Just Got Paid, Let's Get Laid"
2018-03-16 19:19:33-03:00,The Fear,Lily Allen,"It's Not Me, It's You"
2018-03-16 19:16:00-03:00,The Pop Kids,Pet Shop Boys,Super
2018-03-16 19:12:23-03:00,Holidays (feat. Alan Palomo),Miami Horror,Illumination
2018-03-16 19:07:10-03:00,Love Drunk,Boys Like Girls,Love Drunk
2018-03-16 19:04:14-03:00,In Too Deep,Sum 41,All Killer No Filler
2018-03-16 19:01:02-03:00,Don't Trust Me,3OH!3,Want
2018-03-16 18:53:30-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition)
2018-03-16 18:50:55-03:00,Havana,Camila Cabello,Camila
2018-03-16 18:48:12-03:00,Get Out,CHVRCHES,Get Out
2018-03-16 18:45:07-03:00,California,Grimes,Art Angels
2018-03-16 18:41:31-03:00,Tu juego,Miranda!,El Templo del Pop
2018-03-16 18:38:10-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-16 18:34:44-03:00,Little Wanderer,Death Cab for Cutie,Kintsugi
2018-03-16 09:59:55-03:00,Amar en el campo,Teleradio Donoso,bailar y llorar
2018-03-16 09:56:26-03:00,What Became of the Likely Lads,The Libertines,The Libertines
2018-03-16 09:51:21-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-16 09:46:18-03:00,Underneath It All,No Doubt,Rock Steady [UK Version (Ltd.)]
2018-03-16 09:42:21-03:00,Boys,Charli XCX,Boys
2018-03-16 09:23:08-03:00,Vogue - Live,Madonna,I'm Going To Tell You A Secret (Audio Only DMD)
2018-03-16 09:16:53-03:00,But It's Better If You Do - Live In Chicago,Panic! at the Disco,Live In Chicago
2018-03-16 09:13:37-03:00,Higher,Lily Allen,Higher
2018-03-16 09:11:10-03:00,MAI LOV,Dënver,Sangre Cita
2018-03-16 09:06:51-03:00,Little Wanderer,Death Cab for Cutie,Kintsugi
2018-03-16 09:02:11-03:00,Vanished,Crystal Castles,Crystal Castles
2018-03-16 08:58:19-03:00,Holidays (feat. Alan Palomo),Miami Horror,Illumination
2018-03-16 08:54:35-03:00,"Gun - Live From Spotify House, SXSW Texas / 2016",CHVRCHES,Spotify Sessions
2018-03-16 08:49:43-03:00,California,Grimes,Art Angels
2018-03-15 08:23:06-03:00,Little Wanderer,Death Cab for Cutie,Kintsugi
2018-03-15 08:17:17-03:00,Sol a Sol,Planeta No,Odio
2018-03-15 08:13:21-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism
2018-03-15 08:10:18-03:00,Je veux te voir - club-club version,Yelle,Je Veux Te Voir
2018-03-15 08:07:36-03:00,California,Grimes,Art Angels
2018-03-15 08:04:27-03:00,Get Out,CHVRCHES,Get Out
2018-03-15 08:02:06-03:00,Holidays (feat. Alan Palomo),Miami Horror,Illumination
2018-03-15 07:57:56-03:00,TTHHEE PPAARRTTYY - Live Version,Justice,A Cross The Universe
2018-03-15 07:52:05-03:00,Take on Me,a-ha,Hunting High and Low
2018-03-15 07:49:11-03:00,Sufrir,Javiera Mena,Mena
2018-03-15 07:45:11-03:00,Belleza,Fármacos,Belleza
2018-03-15 07:42:19-03:00,Dentro de ti,Javiera Mena,Dentro de ti
2018-03-15 07:38:06-03:00,Gimme More - Remastered,Britney Spears,The Essential Britney Spears
2018-03-15 07:34:14-03:00,Starboy,The Weeknd,Starboy
2018-03-15 07:29:04-03:00,"Gun - Live From Spotify House, SXSW Texas / 2016",CHVRCHES,Spotify Sessions
2018-03-15 07:24:58-03:00,"Clearest Blue - Live From Spotify House, SXSW Texas / 2016",CHVRCHES,Spotify Sessions
2018-03-15 07:21:35-03:00,I'm A Slave 4 U - Remastered,Britney Spears,The Essential Britney Spears
2018-03-15 07:17:50-03:00,Shanana,Alex Anwandter,Rebeldes
2018-03-15 07:14:55-03:00,Hummer,Foals,Hummer
2018-03-15 07:13:19-03:00,Locked Out,Red Wire Black Wire,Compass EP
2018-03-15 07:09:11-03:00,Higher,Lily Allen,Higher
2018-03-14 13:44:48-03:00,Blank Space,Taylor Swift,
2018-03-14 13:37:47-03:00,Style,Taylor Swift,
2018-03-14 13:33:23-03:00,When I Grow Up,The Pussycat Dolls,
2018-03-14 13:27:04-03:00,All the Things She Said,t.A.T.u.,
2018-03-14 13:21:55-03:00,Wannabe,Spice Girls,
2018-03-14 13:16:38-03:00,What a Girl Wants,Christina Aguilera,
2018-03-14 13:12:25-03:00,Genie in a Bottle,Christina Aguilera,
2018-03-14 13:05:41-03:00,...Baby One More Time,Britney Spears,
2018-03-14 13:00:55-03:00,Bad Blood ft. Kendrick Lamar,Taylor Swift,
2018-03-14 12:56:43-03:00,Look What You Made Me Do,Taylor Swift,
2018-03-14 09:48:30-03:00,Run Run Run,Phoenix,Alphabetical
2018-03-14 09:43:58-03:00,Like A Friend,Pulp,This Is Hardcore Deluxe Edition (2 CD )
2018-03-14 09:39:46-03:00,If My Heart Is Broken,Black Kids,Rookie
2018-03-14 09:36:02-03:00,This Scene Is Dead,We Are Scientists,With Love And Squalor
2018-03-14 09:32:22-03:00,Heads Will Roll,Yeah Yeah Yeahs,It's Blitz!
2018-03-14 09:28:52-03:00,Oxford Comma,Vampire Weekend,Vampire Weekend
2018-03-14 09:24:47-03:00,Mountain At My Gates,Foals,What Went Down
2018-03-14 09:21:45-03:00,Paper Thin Walls,Modest Mouse,The Moon & Antarctica
2018-03-14 09:19:37-03:00,You Can Do Better Than Me,Death Cab for Cutie,Narrow Stairs
2018-03-14 09:08:58-03:00,Air Balloon,Lily Allen,Sheezus (Special Edition)
2018-03-14 09:03:43-03:00,Untouched,The Veronicas,Hook Me Up (US Version)
2018-03-14 09:00:19-03:00,3,Britney Spears,The Essential Britney Spears
2018-03-14 08:58:20-03:00,You Can Do Better Than Me,Death Cab for Cutie,Narrow Stairs
2018-03-14 08:53:56-03:00,J-Boy,Phoenix,Ti Amo
2018-03-14 08:48:43-03:00,Your New Twin Sized Bed,Death Cab for Cutie,Narrow Stairs
2018-03-14 08:46:09-03:00,"Stay Young, Go Dancing",Death Cab for Cutie,Codes and Keys
2018-03-14 08:42:41-03:00,A Lack of Color,Death Cab for Cutie,Transatlanticism
2018-03-14 08:40:26-03:00,This Charming Man,Death Cab for Cutie,You Can Play These Songs With Chords
2018-03-14 08:37:08-03:00,Company Calls,Death Cab for Cutie,We Have the Facts and We're Voting Yes
2018-03-14 08:27:39-03:00,Genie in a Bottle,Christina Aguilera,Christina Aguilera
2018-03-14 08:23:33-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-13 18:28:38-03:00,Soul Meets Body,Death Cab for Cutie,Plans
2018-03-13 18:24:18-03:00,Your Bruise,Death Cab for Cutie,Something About Airplanes
2018-03-13 18:15:52-03:00,I Will Possess Your Heart,Death Cab for Cutie,Narrow Stairs
2018-03-13 18:11:02-03:00,Black Sun,Death Cab for Cutie,Kintsugi
2018-03-13 18:07:23-03:00,405,Death Cab for Cutie,We Have the Facts and We're Voting Yes
2018-03-13 18:04:36-03:00,Little Bribes,Death Cab for Cutie,The Open Door EP
2018-03-13 18:01:12-03:00,Underneath the Sycamore,Death Cab for Cutie,Codes and Keys
2018-03-13 17:56:51-03:00,Tiny Vessels,Death Cab for Cutie,Transatlanticism
2018-03-13 17:53:08-03:00,Marching Bands of Manhattan,Death Cab for Cutie,Plans
2018-03-13 17:48:37-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism
2018-03-13 17:45:16-03:00,You Are a Tourist,Death Cab for Cutie,Codes and Keys
2018-03-13 17:40:31-03:00,Little Wanderer,Death Cab for Cutie,Kintsugi
2018-03-13 17:37:16-03:00,Hungry Like The Wolf - 2009 Remastered Version,Duran Duran,Rio [Collector's Edition]
2018-03-13 17:28:53-03:00,Holidays (feat. Alan Palomo),Miami Horror,Illumination
2018-03-13 17:26:04-03:00,Candyman,Christina Aguilera,Keeps Gettin' Better: A Decade of Hits
2018-03-13 17:22:58-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-13 17:19:56-03:00,Get Out,CHVRCHES,Get Out
2018-03-13 07:47:41-03:00,La Joya,Javiera Mena,Otra Era
2018-03-13 07:44:08-03:00,A Little Respect - 2009 Remastered Version,Erasure,The Innocents
2018-03-13 07:41:59-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition)
2018-03-13 07:38:54-03:00,Florida Kilos,Lana Del Rey,Ultraviolence (Deluxe)
2018-03-13 07:34:47-03:00,Can't Stand Me Now - Live at O2 Academy Glasgow,The Libertines,"Live at O2 Academy Glasgow, 2015"
2018-03-13 07:30:59-03:00,Ya Lo Sabía - En Vivo,Miranda!,Luna Magistral
2018-03-13 07:27:41-03:00,Tennis Court,Lorde,Pure Heroine
2018-03-13 07:24:03-03:00,Havana,Camila Cabello,Camila
2018-03-13 07:20:14-03:00,The Fear,Lily Allen,"It's Not Me, It's You [Special Edition]"
2018-03-13 07:15:54-03:00,No dejes que me calme,Fármacos,Estado de Gracia
2018-03-13 07:12:21-03:00,"Suerte (Whenever, Wherever)",Shakira,Laundry Service
2018-03-13 07:08:19-03:00,Lisztomania,Phoenix,Lisztomania
2018-03-13 07:04:07-03:00,Quiero - En Vivo,Miranda!,En vivo sin Restricciones!
2018-03-13 06:59:45-03:00,West Coast,Lana Del Rey,West Coast
2018-03-13 06:55:57-03:00,woRK frOm HoMe,Fifth Harmony,Work from Home
2018-03-13 06:52:15-03:00,But It's Better If You Do - Live In Chicago,Panic! at the Disco,Live In Chicago
2018-03-13 06:47:57-03:00,Higher,Lily Allen,Higher
2018-03-12 18:57:53-03:00,Second To None,Phoenix,It's Never Been Like That (Deluxe Version)
2018-03-12 18:52:22-03:00,We Looked Like Giants,Death Cab for Cutie,Transatlanticism
2018-03-12 18:47:03-03:00,J-Boy,Phoenix,Ti Amo
2018-03-12 18:40:53-03:00,Moving To New York,The Wombats,"Proudly Present....A Guide To Love, Loss & Desperation"
2018-03-12 18:35:21-03:00,Killamangiro,Babyshambles,Down in Albion
2018-03-12 18:32:45-03:00,DLZ,TV on the Radio,"Dear Science,"
2018-03-12 18:29:07-03:00,Common People,Pulp,Different Class / Deluxe Edition
2018-03-12 18:24:35-03:00,Girls & Boys,Blur,Blur: The Best Of
2018-03-12 18:22:05-03:00,Junk of the Heart (Happy),The Kooks,Junk of the Heart
2018-03-12 18:18:32-03:00,Title and Registration,Death Cab for Cutie,Transatlanticism
2018-03-12 18:16:17-03:00,Take Me Out,Franz Ferdinand,Franz Ferdinand
2018-03-12 18:14:26-03:00,Campus,Vampire Weekend,Vampire Weekend
2018-03-12 18:10:40-03:00,Some Velvet Morning - New Version,Primal Scream,Dirty Hits - Limited Edition
2018-03-12 18:07:00-03:00,Marching Bands of Manhattan,Death Cab for Cutie,Plans
2018-03-12 18:02:21-03:00,Second To None,Phoenix,It's Never Been Like That (Deluxe Version)
2018-03-12 17:58:27-03:00,Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank
2018-03-12 17:55:59-03:00,Just a Girl,No Doubt,Tragic Kingdom
2018-03-12 09:57:55-03:00,Por la Ventana,Gepe,Audiovision
2018-03-12 09:52:55-03:00,We Will Become Silhouettes,The Postal Service,Give Up
2018-03-12 09:50:59-03:00,The Sound of Settling,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition)
2018-03-12 09:47:23-03:00,J-Boy,Phoenix,Ti Amo
2018-03-12 09:41:40-03:00,Just a Girl,No Doubt,Tragic Kingdom
2018-03-12 09:37:57-03:00,Trigger Bang (feat. Giggs),Lily Allen,Trigger Bang (feat. Giggs)
2018-03-12 09:35:15-03:00,Boys,Charli XCX,Boys
2018-03-12 09:31:54-03:00,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derülo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
2018-03-12 09:27:12-03:00,Booty,Jennifer Lopez,Booty
2018-03-12 09:23:59-03:00,Fancy,Iggy Azalea,The New Classic (Deluxe Version)
2018-03-12 09:21:03-03:00,Wannabe - Radio Edit,Spice Girls,Spice
2018-03-12 09:15:34-03:00,Amor y Porno,Fármacos,Estado de Gracia
2018-03-12 09:11:48-03:00,El Amanecer,Javiera Mena,Mena
2018-03-12 09:08:24-03:00,Team,Lorde,Pure Heroine
2018-03-12 09:04:41-03:00,Get Out,CHVRCHES,Get Out
2018-03-12 09:00:32-03:00,In Too Deep,Sum 41,All Killer No Filler
2018-03-12 08:57:45-03:00,All the Small Things,blink-182,Enema of the State
2018-03-12 08:55:17-03:00,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret
2018-03-12 08:51:32-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-11 22:56:21-03:00,Believe,Cher,Believe
2018-03-11 22:52:46-03:00,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derülo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
2018-03-11 22:48:10-03:00,On My Mind,Ellie Goulding,Delirium (Deluxe)
2018-03-11 22:45:35-03:00,Genie in a Bottle,Christina Aguilera,Christina Aguilera
2018-03-11 22:40:32-03:00,Make Me Like You,Gwen Stefani,This Is What the Truth Feels Like
2018-03-11 22:35:40-03:00,Booty,Jennifer Lopez,Booty
2018-03-11 22:32:50-03:00,Be Good to Me,Ashley Tisdale,Headstrong
2018-03-11 22:28:41-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-11 22:24:43-03:00,Lucky,Britney Spears,Oops!... I Did It Again
2018-03-11 22:20:37-03:00,...Baby One More Time - Remastered,Britney Spears,...Baby One More Time (Digital 45)
2018-03-11 22:17:24-03:00,Circus,Britney Spears,Circus (Deluxe Version)
2018-03-11 22:13:47-03:00,If U Seek Amy,Britney Spears,Circus (Deluxe Version)
2018-03-11 22:08:24-03:00,Criminal - Varsity Team Mixshow,Britney Spears,Criminal (Remixes)
2018-03-11 22:04:07-03:00,Now That I Found You,Britney Spears,Britney Jean (Deluxe Version)
2018-03-11 21:59:58-03:00,Hold It Against Me - Funk Generation (Radio Remix),Britney Spears,Hold It Against Me (Remixes)
2018-03-11 21:56:00-03:00,Break the Ice,Britney Spears,Blackout
2018-03-11 21:52:30-03:00,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again
2018-03-11 21:49:14-03:00,Slumber Party feat. Tinashe,Britney Spears,Glory (Deluxe Version)
2018-03-11 21:45:37-03:00,I'm a Slave 4 U,Britney Spears,Britney (Digital Deluxe Version)
2018-03-11 21:43:02-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-11 21:37:40-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-11 21:33:48-03:00,Underneath It All,No Doubt,Rock Steady [UK Version (Ltd.)]
2018-03-11 21:24:29-03:00,Bohemian Like You,The Dandy Warhols,Thirteen Tales from Urban Bohemia
2018-03-11 21:21:34-03:00,Hummer,Foals,Hummer
2018-03-11 20:29:19-03:00,Bigger Than Us,White Lies,Ritual
2018-03-11 20:24:41-03:00,Young Folks,Peter Bjorn and John,Writer's Block
2018-03-11 20:20:22-03:00,Wolf Like Me,TV on the Radio,Return To Cookie Mountain
2018-03-11 20:16:15-03:00,Loaded - Edited version,Primal Scream,Dirty Hits - Limited Edition
2018-03-11 20:13:07-03:00,Junk of the Heart (Happy),The Kooks,Junk of the Heart
2018-03-11 20:09:56-03:00,Time for Heroes - Live at O2 Academy Glasgow,The Libertines,"Live at O2 Academy Glasgow, 2015"
2018-03-11 20:06:49-03:00,Your Heart Is an Empty Room,Death Cab for Cutie,Plans
2018-03-11 20:02:53-03:00,Goodbye Soleil,Phoenix,Ti Amo
2018-03-11 19:58:51-03:00,I'm Not Gonna Teach Your Boyfriend How to Dance With You,Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You
2018-03-11 19:55:36-03:00,Men's Needs,The Cribs,"Men's Needs, Women's Needs, Whatever (Standard Version)"
2018-03-11 19:53:28-03:00,Float On,Modest Mouse,Good News For People Who Love Bad News
2018-03-11 19:50:04-03:00,Naïve,The Kooks,Inside In / Inside Out
2018-03-11 19:44:48-03:00,J-Boy,Phoenix,Ti Amo
2018-03-11 14:20:04-03:00,Rare,Gwen Stefani,This Is What the Truth Feels Like
2018-03-11 14:15:25-03:00,Rome,Phoenix,Wolfgang Amadeus Phoenix
2018-03-11 14:12:11-03:00,Traición - En Vivo,Miranda!,Luna Magistral
2018-03-11 14:08:19-03:00,"Swing, Swing",The All-American Rejects,The All-American Rejects
2018-03-11 14:05:27-03:00,Ya No Veo Mis Zapatos,Planeta No,Matucana
2018-03-11 14:03:23-03:00,Here,Alessia Cara,Know-It-All (Deluxe)
2018-03-10 18:06:11-03:00,Rich Girl,Gwen Stefani,Love Angel Music Baby
2018-03-10 17:59:16-03:00,What Katie Did - Live at O2 Academy Glasgow,The Libertines,"Live at O2 Academy Glasgow, 2015"
2018-03-10 17:54:52-03:00,Soul Meets Body,Death Cab for Cutie,Plans
2018-03-10 17:51:47-03:00,Long Distance Call,Phoenix,It's Never Been Like That (Deluxe Version)
