id,URL_of_Anchor,Result,Query_date,having_IP_Address,valid_IP_Address,Request_URL,URL_Length,SSLfinal_State,SFH,web_traffic,popUpWindow
99,0,-1,2014-03-18,No,0,0,0,-1,1,1,0
100,1,-1,2013-07-25,No,0,-1,0,1,1,-1,2
101,1,-1,2013-12-01,No,0,1,-1,1,1,-1,0
102,-1,,2014-04-17,No,0,0,0,1,1,1,0
103,1,-1,2013-12-21,No,0,1,,1,1,0,0
104,1,-1,2013-05-12,No,0,1,0,1,1,0,0
105,1,-1,2013-06-28,No,0,-1,1,1,1,-1,-1
106,1,-1,2013-05-05,Yes,1,,1,0,1,1,0
107,1,-1,2013-05-23,No,0,1,0,1,1,,1
108,-1,-1,2013-12-04,No,0,0,-1,1,1,0,
109,1,-1,2014-04-16,No,0,-1,-1,1,1,1,0
110,-1,-1,2014-01-22,Yes,1,0,1,1,1,1,0
111,-1,-1,2013-04-30,No,0,-1,-3,-1,1,1,0
112,-1,-1,2013-05-12,No,0,-1,0,0,1,0,0
113,1,-1,2013-06-01,No,0,-1,1,1,1,0,1
114,1,-1,2013-10-17,Yes,1,1,0,1,3,1,1
115,0,-1,2014-04-18,No,0,1,1,1,1,0,0
116,0,2,2014-02-24,No,0,1,-1,-1,1,1,0
117,0,-1,2014-04-07,No,,-1,0,1,-1,1,-1
118,-1,-1,2014-03-20,No,0,-1,0,1,1,1,1
119,1,-1,2013-04-29,No,0,1,0,1,1,-1,
120,-1,-1,2014-04-02,No,0,0,1,1,1,0,0
121,-1,-1,2014-03-05,No,0,0,1,1,1,-1,0
122,-1,-1,2013-07-23,No,0,0,0,1,1,0,0
123,1,-1,2013-11-17,No,0,1,0,1,1,0,0
124,1,-1,2013-08-14,No,0,-1,1,1,1,1,0
125,-1,-1,2013-04-25,No,0,0,-1,1,1,-1,1
126,-1,-1,2013-06-20,No,0,0,0,1,1,-1,1
127,1,-1,2013-11-26,No,0,1,-3,1,1,-1,1
128,-1,-1,2013-09-17,Yes,1,0,-1,1,1,,1
129,1,-1,2014-04-07,Yes,-2,1,1,1,1,-1,1
130,-1,-1,2013-12-15,No,0,0,0,1,1,1,-1
131,0,-1,2014-03-15,No,0,-1,-1,1,-1,0,0
132,-1,-1,2013-11-18,No,0,0,0,1,1,-1,0
133,1,-1,2013-10-14,No,0,1,-2,0,1,-1,0
134,-1,-1,2014-02-19,No,0,,1,1,-1,-1,0
135,1,-1,2013-10-01,No,0,1,1,1,1,0,-1
136,1,-1,2013-10-10,No,0,1,0,0,1,1,0
137,0,-1,2013-09-13,No,-3,1,0,0,1,1,-1
138,1,-1,2013-10-01,Yes,1,1,1,1,1,2,1
139,1,-1,2013-04-29,No,0,-1,1,1,1,0,0
140,0,-1,2013-07-01,No,0,1,1,1,1,0,-1
141,1,-1,2013-10-08,No,0,-1,1,1,1,-2,-1
142,0,-1,2014-01-05,Yes,1,0,1,1,-1,0,1
143,,-1,2014-01-15,No,0,1,0,1,1,-1,0
144,1,-1,2013-12-24,No,0,-1,0,1,1,-1,0
145,1,-1,2013-09-23,No,0,-1,1,1,1,-1,0
146,0,-1,2013-09-14,No,0,-1,-1,3,,1,-1
147,-1,-1,2013-07-16,No,0,-1,1,1,1,-1,
148,-1,2,2013-04-27,No,0,0,0,1,1,,0
149,-1,-1,2014-03-04,No,0,0,0,1,1,-1,0
150,1,-1,2013-08-18,No,0,1,1,-1,1,-1,
151,1,-1,2014-02-16,No,0,-1,1,1,1,1,-1
152,1,-1,2014-02-06,No,0,-1,1,1,1,0,0
153,1,-1,2014-02-06,No,0,-1,0,1,1,-1,0
154,1,-1,2013-07-03,No,0,,-1,1,1,-1,0
155,-1,,2014-01-01,No,0,-1,0,1,1,1,0
156,-1,-1,2013-09-01,No,0,-1,-2,1,1,-1,0
157,1,-1,2013-11-28,No,0,1,0,1,1,0,0
158,-1,-1,2013-05-15,Yes,1,-1,0,1,1,1,0
159,-1,-1,2013-05-25,Yes,1,3,1,0,1,-1,1
160,1,-1,2013-11-28,No,0,2,-1,1,1,1,-1
161,1,-1,2014-04-15,No,0,1,0,2,1,0,-1
162,-1,-1,2014-02-08,Yes,1,0,-1,1,1,-1,0
163,1,-1,2013-09-12,No,0,-1,0,-1,-3,1,1
164,-1,-1,2014-01-16,No,0,-3,1,1,1,0,0
165,1,-1,2013-09-13,No,0,-1,1,1,2,-1,0
166,-1,-1,2013-08-03,Yes,1,0,-1,1,1,1,-2
167,-1,-1,2013-07-04,No,0,-1,0,1,1,0,1
168,1,,2013-09-01,No,0,1,1,1,1,0,0
169,1,-1,2013-08-24,No,0,1,-1,1,0,0,0
170,1,-1,2013-07-27,Yes,1,1,-1,1,1,-1,-1
171,1,-1,2014-03-21,No,2,-1,0,0,1,0,-1
172,1,-1,2013-09-10,No,0,1,1,1,1,0,0
173,1,-1,2013-09-20,No,0,1,0,1,1,-1,0
174,1,-1,2013-07-18,No,0,-2,-1,0,,1,-1
175,-1,2,2013-08-03,No,0,0,1,1,1,1,0
176,0,-1,2014-03-06,No,0,0,0,1,-2,0,0
177,1,,2013-09-27,No,0,1,1,1,1,-1,1
178,-1,-1,2013-10-15,No,0,0,-1,0,1,-2,0
179,1,-1,2013-08-16,No,0,-1,-1,1,1,0,0
180,-1,-1,2014-03-01,No,0,0,1,1,1,0,0
181,-1,-1,2014-03-11,No,0,-1,0,0,1,-1,-1
182,-1,-1,2014-01-23,No,0,0,1,1,1,0,0
183,0,-1,2013-10-12,No,3,0,0,1,1,-1,1
184,1,-1,2013-06-25,No,0,1,-1,1,1,-1,
185,1,-1,2013-10-17,No,0,-1,0,,1,0,0
186,1,-1,2013-09-21,No,0,-1,0,0,1,1,0
187,0,-1,2013-06-09,No,0,0,0,1,1,-1,0
188,1,-1,2013-09-19,Yes,1,-1,-1,1,1,-1,0
189,,-1,2013-06-04,No,0,1,0,1,1,0,0
190,1,-1,2013-12-24,No,0,1,2,0,1,0,-1
191,0,-1,2013-06-23,No,0,1,0,,1,1,1
192,1,-1,2013-06-15,No,0,1,0,0,-1,0,-1
193,1,-1,2013-08-28,No,0,1,-1,1,2,1,0
194,-1,-1,2013-11-13,No,0,0,0,1,-1,0,0
195,1,-1,2013-07-22,No,0,1,-1,0,1,-1,1
196,1,-1,2014-02-19,Yes,,1,0,1,1,-1,1
197,1,-1,2014-01-11,No,0,-1,0,0,1,0,-1
198,-1,-1,2014-02-20,No,0,0,1,1,1,0,
199,1,-1,2013-09-21,No,0,-1,-1,1,1,-1,-1
200,,-1,2013-11-06,Yes,1,-1,1,1,1,1,0
201,0,-1,2014-01-18,No,0,0,0,1,,0,0
202,1,-1,2013-12-26,No,0,1,1,1,,-1,-1
203,-2,-1,2013-05-14,No,0,1,-1,0,1,0,-1
204,0,-1,2013-10-29,Yes,1,0,0,1,1,0,0
205,1,-1,2014-03-11,No,0,1,-1,1,1,-1,0
206,0,-1,2013-09-04,No,0,1,0,1,1,0,0
207,0,-1,2013-08-22,No,0,0,0,1,1,0,1
208,1,-1,2013-10-13,No,0,1,-2,1,1,-1,
209,-1,-1,2013-06-29,No,0,0,1,1,1,0,0
210,1,-1,2013-12-27,No,0,1,0,1,1,0,0
211,-1,-1,2013-07-17,No,0,0,0,1,1,-1,-1
212,1,-2,2014-02-16,No,0,1,,1,1,-1,0
213,1,-1,2013-10-23,No,0,-1,-1,1,1,1,1
214,1,-1,2014-02-23,No,0,,0,3,1,-1,0
215,-1,-1,2013-07-11,No,0,0,0,1,1,0,0
216,1,-1,2014-02-22,No,0,-1,0,-3,1,-1,0
217,1,-1,2013-05-26,No,0,1,-1,0,1,0,0
218,1,-1,2013-12-24,No,0,1,0,,1,0,-1
219,1,-1,2013-10-09,No,0,,0,-1,1,-1,0
220,1,-1,2014-03-29,No,0,-1,0,1,1,0,1
221,1,-1,2013-05-10,No,0,-1,0,1,1,1,1
222,-1,-1,2013-10-17,No,0,0,-1,0,1,0,1
223,-1,-1,2013-09-28,No,-3,-1,-1,1,-1,1,-1
224,1,-1,2013-11-02,No,0,1,1,1,1,1,-1
225,1,-1,2014-01-07,No,0,1,0,,1,0,0
226,0,-1,2014-02-26,No,0,0,0,1,1,-1,0
227,-1,-1,2013-10-20,No,0,-1,1,1,1,-2,0
228,1,-1,2013-11-20,No,0,1,-1,1,-3,0,0
229,1,-1,2013-07-03,Yes,1,1,0,1,-1,-1,0
230,1,-1,2013-11-14,No,0,1,0,,1,1,1
231,1,-1,2013-12-05,No,0,1,0,1,1,0,0
232,0,-1,2014-03-18,No,0,1,-1,1,1,-3,0
233,1,-1,2013-07-10,No,0,1,0,-1,1,1,0
234,0,,2014-03-07,No,0,0,-1,1,1,0,0
235,1,-1,2013-05-09,No,0,1,1,1,1,1,0
236,0,-1,2013-08-22,No,0,0,-1,1,1,1,0
237,0,-1,2013-07-19,No,0,1,3,,1,1,0
238,1,-1,2014-01-13,No,0,1,0,1,1,0,0
239,1,-1,2014-02-25,No,0,-1,1,0,1,-1,-1
240,1,-1,2013-10-27,Yes,1,-1,1,1,1,1,1
241,1,-1,2013-09-23,No,0,-1,0,-3,1,-1,1
242,1,-1,2013-06-23,Yes,1,-1,-1,1,1,-1,
243,-1,-1,2013-05-10,No,0,0,-1,1,1,0,0
244,0,-1,2013-06-23,No,0,1,,1,1,-1,0
245,1,-2,2014-01-30,No,0,-1,0,-1,1,1,0
246,1,-1,2014-04-14,No,0,-1,0,1,1,-1,-1
247,-1,-1,2013-07-09,Yes,1,-1,0,1,1,-1,1
248,0,-1,2013-12-30,No,0,0,1,1,1,1,0
249,1,-1,2013-06-29,No,0,1,1,1,1,0,0
250,0,-1,2013-07-16,No,0,1,0,-1,1,1,1
251,-1,-1,2013-05-22,No,0,0,1,1,1,0,1
252,1,-1,2013-06-04,No,0,1,0,1,1,3,0
253,1,-1,2013-05-19,No,0,-1,0,1,1,-1,0
254,-1,2,2013-12-24,No,0,-1,0,-1,1,1,1
255,-1,-1,2013-08-18,No,0,-1,0,-1,1,1,0
256,1,-1,2014-03-03,No,0,-1,1,1,1,-1,0
257,-1,-1,2014-04-14,No,0,0,0,1,1,-1,0
258,1,-1,2013-05-13,No,2,1,-1,0,1,1,-1
259,1,-1,2014-03-04,No,0,1,1,1,1,0,0
260,1,-1,2014-01-08,No,0,1,1,1,1,3,0
261,-1,-1,2013-11-12,No,0,0,1,1,-1,1,0
262,-1,-1,2013-08-02,No,0,0,,1,1,0,0
263,1,-1,2013-12-07,No,0,-3,-1,1,1,-1,0
264,1,3,2013-09-10,No,0,-1,0,1,1,-1,0
265,1,-1,2014-02-04,No,0,-1,1,1,1,-3,1
266,0,-1,2014-03-11,No,0,0,0,1,-1,,0
267,0,-1,2013-10-17,Yes,1,0,1,1,1,1,0
268,0,-1,2013-12-12,No,0,0,0,-2,1,1,-1
269,-1,-1,2014-03-24,No,0,0,-1,1,1,-1,1
270,0,-1,2014-04-02,No,0,-1,-1,0,1,-1,-1
271,1,-1,2013-12-08,No,0,-1,0,1,1,1,2
272,1,-1,2013-09-02,Yes,1,1,0,1,1,-1,1
273,-1,-1,2014-04-14,No,0,-2,1,1,,0,0
274,-1,-1,2013-07-27,No,0,-1,0,1,1,-1,1
275,-1,-1,2013-07-17,No,0,,1,1,1,1,0
276,-1,-1,2013-05-08,No,0,1,-1,0,1,-1,-1
277,-1,-1,2013-05-29,No,0,0,1,1,1,0,
278,1,-1,2013-11-23,No,0,1,0,1,1,1,0
279,1,-1,2013-09-03,No,0,-1,-1,1,1,1,-1
280,1,-1,2014-02-19,No,0,-1,1,1,1,-1,0
281,1,-1,2013-12-28,No,0,-1,0,1,1,1,-1
282,-1,,2013-08-09,No,0,1,0,1,-1,1,-1
283,1,-1,2013-10-11,No,0,1,-1,1,1,0,1
284,1,-1,2013-10-05,No,,-1,0,1,1,-1,-1
285,1,-1,2013-05-23,No,0,-1,0,1,1,0,-1
286,1,-1,2014-01-05,No,0,-1,0,-1,1,-1,3
287,1,-1,2013-08-19,No,0,-1,-1,1,1,-1,
288,0,-1,2014-04-11,No,0,1,1,1,1,0,0
289,1,-1,2014-01-28,No,0,3,0,1,1,0,0
290,0,-1,2013-09-25,No,0,0,1,1,-1,,0
291,1,-1,2013-08-21,No,0,1,0,-1,-1,1,-2
292,1,-1,2013-10-21,No,0,,0,1,1,-1,1
293,1,-1,2013-11-16,Yes,1,-2,-1,0,1,-1,0
294,-1,-1,2014-02-27,No,0,0,0,1,1,0,0
295,-1,-1,2013-07-18,No,0,-1,-1,0,1,0,-1
296,1,-1,2013-08-24,No,0,1,-1,1,1,1,0
297,-1,-1,2013-11-22,No,0,0,-1,3,1,-1,0
298,0,-1,2013-06-05,No,0,1,0,,2,-1,0
299,1,-1,2014-01-03,No,0,-1,-1,1,1,-1,1
300,1,-1,2014-03-12,No,0,-1,0,1,1,-1,1
301,1,-1,2013-05-21,No,0,1,1,-2,1,1,1
302,1,-1,2013-10-26,No,0,-1,1,1,1,1,-1
303,1,-1,2014-02-03,No,0,1,1,1,1,-1,0
304,1,-1,2013-06-18,No,0,-1,1,1,1,0,0
305,1,-1,2013-12-12,No,0,-1,0,0,1,1,-1
306,1,,2013-08-24,No,0,1,1,1,1,-1,-1
307,,-1,2013-12-19,Yes,1,-1,0,1,1,-1,1
308,-1,-1,2014-03-14,No,0,0,0,1,1,0,0
309,-1,-1,2013-08-18,Yes,1,-1,-1,3,1,-1,0
310,-1,-1,2013-05-21,No,0,0,-1,1,-1,1,-1
311,-1,-1,2013-05-13,No,0,-1,-1,1,1,1,0
312,1,-1,2013-06-11,No,0,1,1,1,1,-1,1
313,-1,-1,2013-09-20,No,0,0,-1,1,1,-1,0
314,1,-1,2013-05-29,No,0,1,1,1,-3,1,0
315,1,-1,2013-08-04,No,0,-1,1,1,1,1,0
316,1,-1,2013-06-11,No,0,-1,0,1,1,-1,0
317,1,-1,2013-12-08,No,0,-1,1,1,1,-1,1
318,1,-1,2013-05-03,No,0,1,-1,1,1,-1,0
319,-1,-1,2013-06-20,No,0,-1,-1,1,1,-1,0
320,-1,-1,2013-10-07,No,0,-1,0,1,1,0,-1
321,1,-1,2014-04-03,No,0,-1,-1,0,1,0,-1
322,0,-1,2013-12-06,Yes,2,1,-1,1,1,0,0
323,1,-1,2013-09-15,No,0,1,1,-1,1,-1,0
324,-1,-1,2014-02-19,No,0,0,-1,1,1,0,0
325,1,-1,2014-01-09,No,0,1,1,2,,0,0
326,0,,2014-02-18,No,0,0,0,1,-1,-1,-1
327,-1,,2013-10-05,No,0,-1,1,0,1,-1,-1
328,1,-1,2013-07-28,No,0,1,0,-1,1,1,1
329,3,-1,2013-09-04,No,,1,0,1,1,0,1
330,1,-1,2013-09-08,No,0,1,0,0,-1,-1,-1
331,1,-1,2013-09-15,No,0,-1,0,1,1,0,0
332,1,-1,2013-12-07,Yes,1,-1,1,1,1,-1,0
333,0,-1,2013-12-22,No,0,1,0,1,1,0,0
334,1,-1,2014-03-17,No,0,-1,-1,1,1,-1,2
335,-1,-1,2013-09-13,No,0,-1,0,1,1,0,0
336,1,-1,2013-04-24,No,0,1,0,1,1,1,0
337,1,-1,2014-01-19,No,0,1,-1,1,1,-1,1
338,1,-1,2013-11-02,No,0,-1,-1,0,1,-1,-1
339,1,-1,2014-03-03,Yes,1,1,1,1,,-3,0
340,1,-1,2013-06-07,No,0,-1,-1,1,1,0,0
341,1,-1,2014-01-29,Yes,1,-1,1,1,1,1,0
342,1,-1,2014-03-15,No,0,1,-1,0,1,-1,-2
343,1,-1,2013-05-02,No,0,1,1,1,1,-1,1
344,0,-1,2013-08-14,Yes,1,1,-1,1,1,-2,1
345,-2,-1,2014-03-05,No,0,1,0,0,1,0,
346,1,-1,2013-11-26,No,0,1,0,1,1,1,0
347,0,-1,2013-10-23,Yes,1,0,0,1,1,2,1
348,0,-1,2013-05-16,No,0,0,1,1,-1,-1,1
349,-1,-1,2013-09-14,No,0,1,0,-1,1,0,0
350,1,-1,2014-03-24,No,0,-1,0,1,1,0,
351,1,-1,2014-03-13,No,0,-1,-1,1,1,-1,0
352,-1,-1,2013-06-11,No,0,0,0,1,1,1,0
353,-1,-1,2013-04-30,Yes,1,0,0,1,1,1,0
354,,-1,2013-07-30,No,0,-1,1,1,1,0,-1
355,1,-1,2013-09-12,No,0,1,1,1,1,0,0
356,1,-1,2013-04-26,No,0,1,1,1,-1,0,0
357,0,-1,2013-05-14,No,2,-1,-1,1,-1,1,-1
358,0,-1,2013-06-10,No,0,1,0,1,1,1,0
359,-1,3,2013-10-22,No,0,0,0,1,1,-1,0
360,1,-1,2013-09-29,No,0,1,-1,1,1,1,1
361,1,-1,2014-01-25,No,0,-1,0,1,-3,1,0
362,1,-1,2013-12-10,No,0,-1,0,1,1,0,1
363,1,-1,2013-08-23,No,0,-1,-1,1,1,0,1
364,1,-1,2013-05-09,No,0,1,1,-1,1,-1,1
365,-1,,2014-02-06,No,0,0,0,1,1,-1,1
366,1,-1,2014-01-29,No,0,-1,-1,1,1,0,1
367,1,-1,2013-08-14,No,,1,-1,1,1,0,-1
368,0,-1,2013-04-28,No,0,1,0,1,1,-1,-1
369,1,-1,2014-03-23,No,0,1,0,1,1,-1,0
370,1,-1,2013-07-08,No,0,-1,0,1,1,1,0
371,-1,-1,2014-04-04,No,0,-1,0,1,1,-1,1
372,1,-1,2013-06-21,No,0,1,-1,1,1,1,0
373,-1,-1,2013-07-10,No,0,-1,0,1,1,-1,0
374,1,-1,2013-11-14,No,0,-1,1,1,-2,-1,0
375,1,-1,2013-05-13,Yes,1,-1,-1,1,1,1,0
376,-1,-1,2013-11-15,No,0,-1,0,0,-2,-1,-1
377,1,-1,2013-04-23,No,0,-1,1,1,,0,1
378,1,-1,2013-08-01,No,0,-1,0,1,1,1,0
379,1,-1,2013-05-04,No,0,1,-1,1,1,-3,-1
380,-1,-1,2013-04-29,Yes,1,0,1,0,-1,-1,-2
381,1,-1,2013-07-08,No,0,1,0,-1,1,0,0
382,-1,-1,2013-12-31,No,,1,0,0,1,0,0
383,-1,-1,2013-09-03,No,0,0,1,1,1,0,0
384,-1,-1,2014-03-22,Yes,1,0,1,-1,1,0,0
385,0,-1,2013-11-07,No,0,1,1,1,1,1,-1
386,-1,-1,2013-06-17,No,0,-1,0,1,1,-1,1
387,1,-1,2014-01-30,No,0,1,1,-2,1,0,1
388,-3,-1,2013-09-07,No,0,0,-1,1,1,0,-1
389,1,-1,2014-04-20,No,0,1,0,1,1,0,0
390,1,-1,2013-09-03,No,0,1,0,,1,-1,0
391,-1,-1,2013-06-11,No,0,0,-1,1,1,1,0
392,1,-1,2013-08-17,No,0,1,-1,-1,1,1,0
393,1,-1,2013-05-26,No,0,-1,0,-2,1,-1,-1
394,1,-1,2013-11-23,No,0,1,0,0,1,-1,-1
395,-1,-3,2013-04-23,No,0,-1,0,1,1,0,0
396,-1,-1,2013-07-18,No,0,0,0,1,1,-1,0
397,-1,-1,2013-12-10,No,0,0,-1,1,1,-2,0
398,1,-1,2014-01-10,No,0,-1,1,1,1,-1,-1
399,1,-1,2013-12-26,Yes,1,1,1,-1,1,1,0
400,-1,3,2013-10-22,No,0,-1,-1,1,1,0,
401,0,-1,2013-12-21,Yes,1,0,0,1,1,,0
402,1,-1,2014-01-24,No,0,1,-1,1,1,-1,0
403,1,2,2014-03-07,No,0,-1,0,-1,1,1,0
404,-1,-1,2013-10-18,No,0,-1,-1,,-3,-1,0
405,1,2,2013-09-09,No,0,1,-1,1,1,1,0
406,1,-1,2013-06-25,No,0,1,1,1,1,0,1
407,-1,-1,2014-01-11,No,0,0,-1,1,1,-1,0
408,0,-1,2013-12-01,No,2,1,-1,1,1,-1,-1
409,-1,-1,2013-04-24,No,0,0,1,1,1,0,-1
410,1,-1,2013-06-19,No,0,-1,-1,1,1,-1,1
411,-1,-1,2014-01-20,No,0,0,,1,1,0,0
412,-1,-1,2013-09-09,No,0,0,-1,1,1,1,1
413,0,-1,2014-01-15,No,0,1,0,1,,0,0
414,-1,-1,2014-01-05,No,0,0,1,1,1,-1,-1
415,1,-1,2013-05-12,No,-3,-1,1,1,1,-1,0
416,1,-2,2013-08-08,No,0,1,-1,1,1,0,0
417,1,-1,2013-07-01,No,0,1,0,1,1,1,1
418,-1,3,2013-10-30,No,0,0,-1,1,-1,1,-1
419,,-1,2013-09-16,No,0,2,-1,0,1,-1,-1
420,1,-1,2013-05-08,No,0,1,1,1,1,-1,0
421,1,-1,2013-07-19,No,0,1,0,0,1,0,0
422,1,-3,2014-03-13,No,0,1,0,-1,1,-1,0
423,-1,-1,2013-07-07,No,0,0,1,-1,-1,0,0
424,1,-1,2014-03-03,Yes,1,1,0,1,-1,-1,0
425,1,-1,2014-03-22,No,0,-1,1,1,1,1,1
426,1,-1,2014-04-19,No,0,1,0,0,1,-1,0
427,1,-1,2014-03-21,No,0,1,1,1,1,1,0
428,1,-1,2013-11-23,No,0,-1,1,1,1,1,1
429,1,-1,2014-01-24,No,0,1,0,1,1,-2,0
430,1,-1,2014-01-04,Yes,1,,0,1,1,-1,0
431,1,-1,2014-02-17,No,0,-1,,0,-1,-1,-1
432,1,-1,2013-09-13,No,0,1,-1,1,1,0,0
433,-2,-1,2013-06-06,No,0,-1,1,1,1,0,1
434,0,-1,2013-11-05,No,0,1,1,1,1,0,1
435,1,,2013-05-14,No,0,1,0,0,1,0,0
